parm_1;parm_2;parm_3;parm_4;parm_5;parm_6
1,82E+20;4,09E+18;8,16E+18;2,78E+19;-5,25E+19;1,57E+19
1,05E+20;-9,98E+18;4,53E+19;9,41E+18;-4,79E+19;2,49E+19
1,21E+20;2,72E+19;1,43E+19;4,31E+19;-4,43E+19;2,30E+19
1,41E+20;-6,04E+18;1,98E+19;3,02E+19;-3,05E+19;1,45E+19
9,74E+19;-4,08E+17;2,60E+19;1,72E+19;-6,20E+19;9,20E+18
1,25E+20;2,99E+19;3,51E+19;4,21E+19;-6,25E+19;2,91E+19
1,25E+20;-1,98E+19;3,66E+19;1,86E+19;-4,67E+19;2,27E+18
5,47E+19;1,36E+19;4,36E+19;1,36E+19;-5,07E+19;1,46E+19
1,63E+20;-8,74E+18;2,11E+19;2,49E+19;-6,07E+19;3,21E+19
1,45E+20;9,50E+18;2,72E+19;4,02E+19;-4,77E+19;1,18E+19
1,03E+20;-1,47E+19;1,60E+19;1,50E+19;-6,80E+19;9,88E+18
1,17E+20;-1,71E+19;3,33E+19;1,30E+19;-4,66E+19;1,12E+19
1,47E+20;1,86E+19;3,78E+19;5,51E+19;-5,89E+19;-1,18E+18
1,14E+20;2,88E+19;2,86E+19;8,24E+18;-5,91E+19;2,31E+19
1,11E+20;5,21E+18;3,90E+19;2,69E+19;-6,64E+19;1,49E+19
7,27E+19;-1,27E+19;3,09E+19;1,48E+19;-4,76E+19;-3,30E+18
1,46E+20;1,08E+19;2,34E+19;3,01E+19;-5,44E+19;1,15E+19
1,23E+20;1,51E+19;3,37E+19;1,28E+19;-4,67E+19;1,07E+19
1,36E+20;-2,49E+18;2,89E+19;2,33E+19;-6,10E+19;1,57E+19
6,70E+19;4,84E+19;3,05E+19;2,04E+19;-6,12E+19;2,23E+19
1,88E+20;1,56E+19;3,49E+19;2,64E+19;-4,32E+19;1,39E+19
1,26E+20;3,04E+19;4,93E+19;2,01E+19;-8,36E+19;2,53E+18
1,15E+20;-3,56E+18;2,42E+19;3,05E+19;-6,06E+19;1,52E+19
2,00E+20;2,11E+19;3,06E+19;1,65E+19;-6,08E+19;1,45E+19
1,24E+20;2,16E+19;2,20E+19;1,44E+19;-5,11E+19;2,78E+19
7,22E+19;8,39E+18;2,92E+19;2,49E+19;-6,53E+19;2,59E+19
1,07E+20;2,67E+19;3,66E+19;3,46E+19;-5,58E+19;3,76E+19
4,24E+19;-1,53E+18;2,89E+19;5,95E+18;-3,43E+19;2,26E+19
1,57E+20;1,64E+19;3,48E+19;2,30E+19;-4,67E+19;-3,30E+17
1,10E+20;8,13E+18;3,94E+19;3,22E+19;-5,59E+19;1,57E+19
9,41E+19;1,57E+19;2,65E+19;1,96E+19;-5,94E+19;1,65E+19
1,67E+20;-1,11E+19;2,99E+19;6,44E+18;-5,17E+19;1,40E+19
5,98E+19;2,97E+18;4,22E+19;1,84E+19;-6,96E+19;1,65E+19
1,45E+20;-6,31E+18;3,27E+19;1,56E+19;-5,30E+19;2,55E+19
5,23E+19;-3,79E+18;3,75E+19;1,74E+19;-6,24E+19;8,31E+18
9,72E+19;1,50E+19;4,17E+19;4,03E+19;-4,98E+19;1,95E+19
8,23E+19;-9,61E+18;4,61E+19;2,46E+19;-4,72E+19;3,13E+19
1,81E+20;-2,36E+18;2,54E+19;2,37E+19;-5,23E+19;1,13E+19
1,93E+20;-2,64E+18;2,71E+19;2,39E+19;-5,72E+19;2,77E+19
1,08E+20;1,18E+19;3,65E+19;1,20E+19;-6,58E+19;1,89E+19
1,53E+20;1,09E+19;3,31E+19;4,31E+19;-3,96E+19;1,07E+18
1,18E+20;-1,13E+19;1,07E+19;2,22E+19;-4,82E+19;1,61E+19
1,43E+20;-3,52E+19;4,68E+19;3,62E+19;-5,93E+19;2,99E+18
9,75E+19;1,75E+19;3,60E+19;1,74E+19;-5,25E+19;7,56E+18
6,51E+19;-1,02E+19;4,17E+19;2,75E+19;-4,46E+19;2,52E+19
5,40E+19;7,86E+18;1,31E+19;3,48E+19;-5,47E+19;1,40E+19
1,39E+20;-1,21E+19;5,08E+19;2,41E+19;-5,14E+19;2,04E+19
